6sense Company Name,6sense Country,6sense Domain,6sense Revenue Range,6sense Employee Range,6sense Industry,6sense Buying Stage
AndHealth,United States,andhealth.com,$1M - $5M,100 - 249,Healthcare & Medical,Decision
Home Of Smiles Dental,Canada,homeofsmiles.ca,$1 - $1M,0 - 9,Healthcare & Medical,Target
Landpower,New Zealand,claasharvestcentre.com,$100M - $250M,250 - 499,Agriculture,Awareness
Unicancer,France,unicancer.fr,$25M - $50M,250 - 499,Healthcare & Medical,Consideration
Close Quarters Defense,United States,cqd.net,$10M - $25M,20 - 49,Education,Target
"Stevenson High School, Lincolnshire, IL",United States,d125.org,$100M - $250M,500 - 999,Education,Awareness
Talmer,Russia,talmer.ru,$100M - $250M,500 - 999,Consumer Goods and Services,Target
CBIZ,United States,cbiz.com,$1B - $2.5B,"10,000+",Business Services,Decision
Institute of forensic medicine Bern,Switzerland,irm.unibe.ch,$1M - $5M,20 - 49,Business Services,Target
Rheinmetall,Italy,rheinmetall.com,$5B+,"10,000+","Automotive,Aerospace & Defense,Hardware & Semiconductors,Transportation & Logistics",Consideration
Genting Bhd,Singapore,genting.com,$2.5B - $5B,"10,000+","Hospitality, Travel, and Recreation,Financial Services,Business Services",Decision
Mildura Family,Australia,mildurafamilydental.com.au,$1M - $5M,0 - 9,Healthcare & Medical,Target
ResCap,Denmark,rescap.dk,$25M - $50M,250 - 499,"Hospitality, Travel, and Recreation",Target
AGE2 IT infraestructure and services,Spain,age2.es,$1M - $5M,20 - 49,"Information Technology,Software",Purchase
SysOpen,Finland,sysopen.fi,$100M - $250M,0 - 9,Software,Target
University Of Texas At San Antonio,United States,utsa.edu,$5B+,"5,000 - 9,999",Education,Consideration
Universidad de Sevilla,Spain,us.es,$500M - $1B,"10,000+",Education,Consideration
Zionsville Community Schools,United States,zcs.k12.in.us,$50M - $100M,500 - 999,Education,Decision
Tuke Software,Czech Republic,tukesoftware.com,$1 - $1M,0 - 9,"Software,Information Technology",Awareness
E.A. Blythe and Co Ltd,United Kingdom,eablythe.com,$1M - $5M,20 - 49,"Industrial Manufacturing,Construction & Engineering",Target
Varsity Healthcare Partners,United States,varsityhealthcarepartners.com,$1M - $5M,20 - 49,Financial Services,Awareness
Radisson Blu Hotel,France,radissonblu.com,$500M - $1B,"1,000 - 4,999","Hospitality, Travel, and Recreation",Consideration
Paramount Corporation Berhad,Malaysia,pcb.my,$100M - $250M,500 - 999,"Construction & Engineering,Real Estate, Rentals, and Leasing",Awareness
Villas Boas E Salineiro Advogados,Brazil,aasp.com,$1 - $1M,10 - 19,Business Services,Target
Stadt Wuppertal,Germany,wuppertal.de,$10M - $25M,"1,000 - 4,999",Government,Consideration
Voya Financial,United States,voya.com,$5B+,"5,000 - 9,999",Financial Services,Purchase
TaylorMade Golf Company,United States,taylormadegolf.com,$500M - $1B,"1,000 - 4,999",Consumer Goods and Services,Consideration
Israel Shipyards,Israel,israel-shipyards.com,$50M - $100M,250 - 499,Transportation & Logistics,Consideration
Pro-M,Hungary,pro-m.hu,$25M - $50M,250 - 499,"Hardware & Semiconductors,Industrial Manufacturing,Telecommunications",Consideration
AGAPLESION EV. KRANKENHAUS BETHANIEN ISERLOHN Gemeinnutzige GmbH,Germany,kkimk.de,$25M - $50M,500 - 999,Healthcare & Medical,Awareness
KGM,United States,kgmgas.com,$1M - $5M,100 - 249,Energy & Utilities,Consideration
Abu Dhabi Distribution Company,United Arab Emirates,addc.ae,$50M - $100M,"1,000 - 4,999",Energy & Utilities,Consideration
Locus,United States,locusimpact.org,$10M - $25M,100 - 249,Financial Services,Awareness
Neo4j,United States,neo4j.com,$100M - $250M,500 - 999,"Software,Information Technology",Consideration
Travelsky Technology USA Ltd.,People's Republic of China,travelsky.net,$500M - $1B,"10,000+",Software,Target
Robertet Group,United States,robertet.com,$500M - $1B,"1,000 - 4,999","Industrial Manufacturing,Consumer Goods and Services",Consideration
Open Insights,India,open-insights.com,$10M - $25M,250 - 499,Business Services,Consideration
Morbihan,France,morbihan.fr,$100M - $250M,"1,000 - 4,999",Government,Target
RECA NORM,Germany,recanorm.de,$100M - $250M,"1,000 - 4,999",Hardware & Semiconductors,Awareness
GMO-Z Com Securities Public Company Limited,New Zealand,z.com,$10M - $25M,500 - 999,Financial Services,Target
Transgourmet Deutschland GmbH & Co. OHG,Germany,transgourmet.de,$500M - $1B,"10,000+","Consumer Goods and Services,Consumer Goods and Services,Business Services",Awareness
"Engineered Floors, LLC",United States,engineeredfloors.com,$100M - $250M,"5,000 - 9,999","Construction & Engineering,Wholesale & Distribution",Consideration
Santa Cruz Biotechnology,United States,scbt.com,$10M - $25M,100 - 249,Biotech & Pharmaceuticals,Awareness
Netwave Online Scheduling,United States,netwavesolutions.com,$5M - $10M,0 - 9,"Software,Information Technology",Target
NHS Property Services Ltd,United Kingdom,property.nhs.uk,$500M - $1B,"1,000 - 4,999","Healthcare & Medical,Real Estate, Rentals, and Leasing",Consideration
Societe Generale,Cameroon,societegenerale.com,$5B+,"10,000+",Financial Services,Awareness
Cibernos,Spain,grupocibernos.com,$100M - $250M,"1,000 - 4,999","Business Services,Information Technology,Software",Consideration
CLA,United States,claconnect.com,$500M - $1B,"5,000 - 9,999",Business Services,Decision
Cal Poly Pomona,United States,cpp.edu,$2.5B - $5B,"1,000 - 4,999",Education,Decision
Granite School District,United States,graniteschools.org,$500M - $1B,"5,000 - 9,999",Education,Decision
Saputo Inc.,Canada,saputo.com,$5B+,"10,000+",Consumer Goods and Services,Consideration
Putsch,Germany,putsch.com,$25M - $50M,250 - 499,"Industrial Manufacturing,Consumer Goods and Services",Target
Aires Fernandes Almeida Lda.,Portugal,airesalmeida.com,$5M - $10M,0 - 9,Consumer Goods and Services,Target
Justiça Eleitoral,Brazil,justicaeleitoral.jus.br,$100M - $250M,0 - 9,Government,Target
Honda R&D Europe,Japan,global.honda,$500M - $1B,"10,000+",Automotive,Consideration
Skender,United States,skender.com,$250M - $500M,250 - 499,Construction & Engineering,Consideration
New India Assurance,India,newindia.co.in,$500M - $1B,"10,000+",Financial Services,Decision
Norseld,Australia,norseld.com,$5M - $10M,20 - 49,"Industrial Manufacturing,Hardware & Semiconductors",Target
AtlantiCare,United States,atlanticare.org,$500M - $1B,"5,000 - 9,999",Healthcare & Medical,Consideration
Union Public Schools,United States,unionps.org,$100M - $250M,"1,000 - 4,999","Education,Government",Consideration
Degeto Film GmbH,Germany,degeto.de,$10M - $25M,100 - 249,Media & Entertainment,Target
EDB,United States,enterprisedb.com,$500M - $1B,"1,000 - 4,999","Software,Information Technology",Consideration
Consort Display Group,United States,consort.com,$1M - $5M,20 - 49,"Business Services,Business Services,Government",Awareness
Sto Corp.,United States,stocorp.com,$25M - $50M,100 - 249,"Construction & Engineering,Construction & Engineering",Consideration
Alfemo,Turkey,alfemo.com.tr,$100M - $250M,"1,000 - 4,999","Consumer Goods and Services,Consumer Goods and Services",Consideration
STERIS Instrument Management Services,United States,steris-ims.com,$50M - $100M,"1,000 - 4,999",Healthcare & Medical,Consideration
Schottenstein Property Group,Singapore,spgroup.com,$100M - $250M,50 - 99,"Real Estate, Rentals, and Leasing",Target
Fuzion Flooring,Canada,fuzionflooring.com,$1M - $5M,100 - 249,"Consumer Goods and Services,Consumer Goods and Services",Awareness
MEDITERRANEAN CAR AGENCY HOLDINGS LTD,Israel,mca.co.il,$10M - $25M,500 - 999,Automotive,Target
C S Alliance International Co Ltd,People's Republic of China,csallianceintel.com,,,,Target
DPD Deutschland,Portugal,dpd.com,$5B+,"10,000+",Transportation & Logistics,Consideration
Air Wisconsin Airlines,United States,airwis.com,$500M - $1B,"1,000 - 4,999",Transportation & Logistics,Consideration
ABN AMRO Clearing Bank,Germany,abnamro.com,$5B+,"10,000+",Financial Services,Consideration
Sodexo,France,sodexo.com,$5B+,"10,000+","Business Services,Construction & Engineering,Hospitality, Travel, and Recreation,Healthcare & Medical",Decision
CSI,Poland,csi.pl,$25M - $50M,100 - 249,Consumer Goods and Services,Target
"Oaks Hotels, Resorts & Suites",Australia,oakshotels.com,$500M - $1B,"1,000 - 4,999","Hospitality, Travel, and Recreation",Consideration
My Home Constructions,India,myhomeconstructions.com,$100M - $250M,500 - 999,"Industrial Manufacturing,Industrial Manufacturing",Consideration
Kyoei Fire & Marine Insurance,Japan,kyoeikasai.co.jp,$250M - $500M,"1,000 - 4,999",Financial Services,Awareness
Profis,Russia,profis-realty.ru,,,"Real Estate, Rentals, and Leasing",Target
Pan African Information Communication Technology Association,South Africa,paicta.org,$5M - $10M,20 - 49,Business Services,Target
PubMatic,India,pubmatic.com,$5B+,"1,000 - 4,999","Business Services,Information Technology,Software",Consideration
Dillard's Inc.,United States,dillards.com,$5B+,"10,000+",Consumer Goods and Services,Consideration
BlackRock,United States,blackrock.com,$5B+,"10,000+",Financial Services,Purchase
City Of Fort Lauderdale,United States,fortlauderdale.gov,$50M - $100M,"1,000 - 4,999","Government,Business Services",Consideration
"TAIWAN TAOYUAN INTERNATIONAL AIRPORT CO., LTD.",Taiwan,taoyuan-airport.com,$5M - $10M,20 - 49,Transportation & Logistics,Awareness
"Legislative Yuan, Taiwan",Taiwan,ly.gov.tw,$100M - $250M,"1,000 - 4,999",Government,Awareness
Mag. Ernst Hofmann Steuerberatungs - Und Wirtschaftstreuhand GmbH,Austria,eho.at,$1 - $1M,0 - 9,Consumer Goods and Services,Target
Harbor Freight Tools,United States,harborfreight.com,$5B+,"10,000+","Consumer Goods and Services,Wholesale & Distribution",Decision
Komus,Russia,komus.ru,$25M - $50M,"10,000+",Consumer Goods and Services,Target
"Kwong Lung Enterprise Co., Ltd.",Taiwan,klf-group.com,$250M - $500M,500 - 999,Consumer Goods and Services,Awareness
Cardinal Health,United States,cardinalhealth.com,$5B+,"10,000+",Biotech & Pharmaceuticals,Decision
MSSS,Canada,msss.gouv.qc.ca,$100M - $250M,"1,000 - 4,999",Government,Consideration
Wondercom,Portugal,wondercom.pt,$50M - $100M,500 - 999,"Business Services,Telecommunications",Purchase
Cerner Corporation,India,cerner.com,$2.5B - $5B,"10,000+","Software,Information Technology,Healthcare & Medical,Internet",Consideration
Legislative Assembly of Alberta,Canada,assembly.ab.ca,$25M - $50M,500 - 999,Government,Decision
Westfort Vleesproducten,Netherlands,westfort.nl,$25M - $50M,"1,000 - 4,999","Consumer Goods and Services,Real Estate, Rentals, and Leasing",Awareness
Kreischer Miller,United States,kmco.com,$25M - $50M,250 - 499,Business Services,Consideration
Fox Rothschild,United States,foxrothschild.com,$500M - $1B,"1,000 - 4,999",Business Services,Consideration
SBCFO,Canada,sbcfo.ca,$5M - $10M,20 - 49,"Business Services,Associations & Non Profits",Target
Target Group,United Kingdom,targetgroup.com,$250M - $500M,500 - 999,Information Technology,Consideration
Largo Carpenters & More Ltd,Israel,largo-f.co.il,$1 - $1M,10 - 19,"Construction & Engineering,Construction & Engineering",Target
University Of Hyderabad,India,uohyd.ac.in,$250M - $500M,"1,000 - 4,999",Education,Decision
Masisa,Chile,masisa.com,$2.5B - $5B,"1,000 - 4,999","Industrial Manufacturing,Consumer Goods and Services",Target
Hutchinson Regional Healthcare System,United States,hutchregional.com,$100M - $250M,"1,000 - 4,999",Healthcare & Medical,Consideration
PAULISTA PRAIA HOTEL S/A,Brazil,ponteshoteis.com.br,$100M - $250M,"1,000 - 4,999","Hospitality, Travel, and Recreation",Decision
Sumitomo Cyclo Drive Germany GmbH,Mexico,sumitomodrive.com,$100M - $250M,500 - 999,"Industrial Manufacturing,Consumer Goods and Services,Consumer Goods and Services",Target
CONSIGNMENT DEPOSITS & LOANS FUND,Greece,tpd.gr,$1M - $5M,20 - 49,"Government,Financial Services",Target
Rockwell Capital,Russia,rockwell-capital.com,$1M - $5M,0 - 9,Business Services,Target
BASKENT UNIVERSITESI,Turkey,baskent.edu.tr,$500M - $1B,"10,000+",Education,Consideration
Montcalm Care Network,United States,montcalmcare.net,$1M - $5M,100 - 249,Healthcare & Medical,Consideration
Bundeskriminalamt,Germany,bka.de,$50M - $100M,"5,000 - 9,999","Business Services,Government",Consideration
Regis Jesuit High School,United States,regisjesuit.com,$25M - $50M,250 - 499,Education,Consideration
Gautam Buddha University,India,gbu.ac.in,$100M - $250M,"5,000 - 9,999",Education,Consideration
Town of Belmont,United States,belmont-ma.gov,$100M - $250M,500 - 999,"Government,Business Services",Consideration
Georgia Institute Of Technology,United States,gatech.edu,$1B - $2.5B,"5,000 - 9,999",Education,Purchase
KESLAR GmbH Energiehandel,Germany,keslar.de,$100M - $250M,100 - 249,Energy & Utilities,Target
Schaffel Development Co,United States,schaffeldevelopment.com,$1M - $5M,20 - 49,Construction & Engineering,Target
Frontier Agriculture,United Kingdom,frontierag.co.uk,$500M - $1B,"1,000 - 4,999",Agriculture,Consideration
Léman Risco SA,Switzerland,lemanrisco.ch,$1 - $1M,20 - 49,Financial Services,Target
Chilquinta Energia S.A.,Chile,chilquinta.cl,$100M - $250M,500 - 999,Energy & Utilities,Consideration
Toyota Systems,Japan,toyotasystems.com,$100M - $250M,50 - 99,"Software,Information Technology",Decision
Arkema,Malaysia,arkema.com,$5B+,"10,000+","Industrial Manufacturing,Construction & Engineering",Target
Banco Itau Chile,Chile,itau.cl,$500M - $1B,"5,000 - 9,999",Financial Services,Consideration
Gule Sider,Norway,gulesider.no,$5M - $10M,100 - 249,Information Technology,Target
Baker - McGuire,People's Republic of China,bakerfurniture.com,$25M - $50M,500 - 999,"Consumer Goods and Services,Consumer Goods and Services",Target
Yichang,People's Republic of China,yichang.com,$50M - $100M,100 - 249,Transportation & Logistics,Target
Bupa,Israel,bupa.com,$5B+,"10,000+","Financial Services,Healthcare & Medical",Target
Tanake,Poland,tanake.com.pl,$5M - $10M,20 - 49,Consumer Goods and Services,Target
Meritage Homes,United States,meritagehomes.com,$5B+,"1,000 - 4,999","Construction & Engineering,Real Estate, Rentals, and Leasing",Consideration
Zeppelin International AG,Germany,zeppelin.com,$2.5B - $5B,"10,000+",Industrial Manufacturing,Awareness
Clark Hill Law,United States,clarkhill.com,$100M - $250M,"1,000 - 4,999",Business Services,Decision
Montgomery Community College,United States,montgomery.edu,$10M - $25M,100 - 249,Education,Awareness
Brunschwig,Switzerland,bongenie.ch,$100M - $250M,500 - 999,Consumer Goods and Services,Awareness
HCLTech,Singapore,hcltech.com,$5B+,"10,000+","Software,Business Services,Information Technology",Consideration
Yanmar,Japan,yanmar.com,$100M - $250M,"10,000+",Industrial Manufacturing,Awareness
MoveInSync,India,moveinsync.com,$25M - $50M,"1,000 - 4,999",Transportation & Logistics,Consideration
Fabrica Digital,Brazil,fabricadigital.com.br,$5M - $10M,20 - 49,Software,Target
Munday Chiropractic Clinic,United States,mundaychiropracticclinic.com,$1M - $5M,0 - 9,Healthcare & Medical,Target
Charlotte Latin School,United States,charlottelatin.org,$50M - $100M,250 - 499,Education,Consideration
"J.W. Stenger Trucking, Inc.",United States,jwstengertrucking.com,$5M - $10M,0 - 9,Transportation & Logistics,Target
Brampton Brick Limited,United States,bramptonbrick.com,$100M - $250M,100 - 249,Construction & Engineering,Awareness
GLOBAL HYDRO,Austria,global-hydro.eu,$25M - $50M,250 - 499,"Industrial Manufacturing,Energy & Utilities,Construction & Engineering",Consideration
City Of Tampa,United States,tampa.gov,$500M - $1B,"1,000 - 4,999",Government,Decision
Ivanhoe Electric Inc.,Canada,ivanhoeelectric.com,$1M - $5M,100 - 249,Industrial Manufacturing,Target
"Milestone Technologies, Inc.",India,milestone.tech,$500M - $1B,"1,000 - 4,999","Software,Information Technology",Decision
JKP Beogradske Elektrane,Serbia,beoelektrane.co.rs,$100M - $250M,100 - 249,Energy & Utilities,Consideration
GPA,Canada,gpainc.ca,$5M - $10M,20 - 49,Consumer Goods and Services,Target
有限会社セントバーナード,Japan,stb.co.jp,$1 - $1M,0 - 9,Business Services,Target
"SBI Holdings, Inc.",Japan,sbigroup.co.jp,$2.5B - $5B,"5,000 - 9,999",Financial Services,Consideration
HOKUTO SYSTEM,Japan,hokuto-sys.co.jp,,20 - 49,Software,Target
"BTY Plastic Technology Co., LTD.",People's Republic of China,btypackaging.com,$5M - $10M,0 - 9,Industrial Manufacturing,Target
COMPANHIA DE GAS DA BAHIA BAHIAGAS,Brazil,bahiagas.com.br,$500M - $1B,250 - 499,"Energy & Utilities,Energy & Utilities",Consideration
Amdocs,Singapore,amdocs.com,$2.5B - $5B,"10,000+","Information Technology,Software",Consideration
TransCoTec,Portugal,ipportalegre.pt,$25M - $50M,"1,000 - 4,999",Education,Consideration
JUNTA DE CASTILLA Y LEON SERVICIOS CENTRALES,Spain,jcyl.es,$500M - $1B,"10,000+",Government,Awareness
Kforce,United States,kforce.com,$1B - $2.5B,"1,000 - 4,999","Business Services,Information Technology",Decision
HOLDING TICINO HOTELS GROUP SA,Switzerland,ticinohotelsgroup.com,$25M - $50M,250 - 499,Financial Services,Target
HealthInfoNet,Australia,ecu.edu.au,$250M - $500M,"1,000 - 4,999",Education,Purchase
Polaris Pharmacy Services,United States,polarisrx.com,$100M - $250M,"1,000 - 4,999","Consumer Goods and Services,Consumer Goods and Services,Healthcare & Medical",Consideration
FUJINO SHOJI,Japan,fujinoshoji.co.jp,$50M - $100M,100 - 249,Consumer Goods and Services,Target
